read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
10e01f32-9cde-4097-8631-e5144c1355c9,2136,2042,29,43,22,142,4,4,1,60
10ecfc8f-7011-428b-8098-124e4299c02b,4571,3990,156,318,107,221,12,9,3,60
1127d93c-585a-4b45-a10f-79e85de2570b,714,677,9,18,10,48,0,2,0,60
11c69c2e-06a6-4b07-bf2c-f8bb7ba79079,18514,17444,356,453,261,1301,49,14,3,60
11e1fb65-8c2a-4f91-89e1-4e9ab0df0ed0,1813,1750,25,25,13,47,1,0,0,60
12171636-9de9-4e8f-80d7-1e5213585a7b,1127,1083,10,18,16,51,0,0,1,60
124c11c8-773d-4385-82cd-b048eac2c6bf,4351,3832,198,191,130,255,7,5,2,60
12614ee0-a222-481b-94d7-5f352050f0fb,1888,1559,97,135,97,97,12,7,3,60
1348fe24-0de1-4dc7-95bd-19c85f3c2620,746,649,43,36,18,35,0,0,0,60
13561121-171b-410c-9040-3c1b0915a304,1372,1317,21,16,18,107,0,0,0,60
13dac93d-0ca6-4e47-93bc-69817b8bb737,407,384,8,9,6,23,1,0,0,60
13e6f4fc-f6a9-43f9-8d37-15184264f29f,1861,1778,34,29,20,104,7,1,0,60
13f4caa2-8edf-4d0c-bc21-544c9f2404f4,1531,1463,20,31,17,110,1,0,2,60
14014d59-f27a-4b62-9edc-37dcfae35233,1773,1677,33,36,27,107,3,0,0,60
148ee13b-6d74-4424-89ef-64e71e9ebdd6,862,785,10,59,8,52,0,0,0,60
15286f2c-85f3-4c68-b91d-7abd890245d6,8180,7872,96,131,81,223,0,2,0,60
152f7867-82a6-42e4-8c87-64fa29b1a715,16734,15922,288,324,200,966,9,6,3,60
1577306f-2a73-4d99-8946-66d53ac8f146,3425,3257,53,62,53,269,0,3,1,60
15a40d2a-3a79-4d97-bbfb-5e6c6b1d991e,2420,2295,50,34,41,177,1,1,0,60
15b61258-1fff-4912-9ba9-4c93a6bdc56f,0,0,0,0,0,0,0,0,0,0
161a8dca-8afb-4d8f-a055-9d4a3bf2bb07,1491,1448,23,13,7,110,2,1,0,60
173f6e14-7495-45c0-8a15-ebdbccd9ae00,591,549,16,17,9,31,0,0,0,60
1859136b-9d9e-4ad3-9800-a8d553c2d1b5,2190,2019,59,76,36,153,3,3,0,60
189125a4-d22a-4811-830d-012e329b1643,2224,2062,57,73,32,121,7,1,0,60
18b076aa-1a6c-4b1e-b3a0-027a8c7bb4da,2503,2380,40,62,21,151,4,0,0,60
195d1a50-51b3-476e-acda-5bdde6158881,4081,3695,143,133,110,217,10,2,1,60
196cc6f3-c1ec-4149-bd9f-dc1f93731550,2250,2154,26,55,15,132,1,3,0,60
1a0a6d75-1ef4-4453-a451-f3da134fe6fc,1319,1244,20,30,25,119,0,1,1,60
1a21d6cf-823e-4b67-803f-e03d600e6e0d,1342,1261,40,26,15,43,1,0,1,60
1a610eb5-db23-4286-9779-1008a5c33b84,6634,6352,76,144,62,522,8,6,4,60
1ad994a1-f95e-40ea-bb5a-e15107b04107,2560,2442,45,51,22,219,1,1,0,60
1af5f25a-0fea-4e44-a390-557883fd79e4,377,362,5,2,8,26,0,1,0,60
1b1b2a7f-f563-4954-9860-a6caf317f479,0,0,0,0,0,0,0,0,0,0
1b4cbe7f-da5d-4cb6-b7d6-f82fc751f0cd,1006,950,19,16,21,61,0,0,1,60
1bce75f5-a01b-42e5-9e40-7869a355d550,2000,1943,25,18,14,126,3,0,0,60
1bf0b370-fd86-4008-9f6a-866dadf3e0e5,1626,1567,25,19,15,138,7,0,1,60
1c014195-7674-4fe8-bc74-2399b347b230,1452,1413,14,21,4,35,1,0,0,60
1c5bf633-fc0a-40f3-bf65-ea1274517f15,0,0,0,0,0,0,0,0,0,0
1c83ae8d-f52c-4966-ae23-59787afd09a6,1381,1302,26,37,16,82,0,1,0,60
1cceff70-1982-4e23-b94b-e19e52af18d4,3913,3769,44,65,35,382,1,1,1,60
1d5f3a48-5a5b-4de6-be35-88da0f8e7bb5,1176,1070,47,43,16,81,1,0,1,60
1d8d592c-c720-4a84-80f0-bf934af35a9e,836,812,11,3,10,48,2,0,1,60
1dd483ed-3d82-422a-adc6-4c6e4e03840c,1410,1360,22,22,6,122,1,0,0,60
1ddd0f57-211c-4f03-93a4-c8c267bb23d8,3469,3297,67,76,29,261,5,7,1,60
1e00f47c-79c3-45a6-953f-bf52948115c9,1054,973,26,37,18,78,1,1,1,60
1e0272e8-ee85-4d27-b322-0a9821cf2e85,3184,2815,92,182,95,192,2,6,4,60
1e1abaa4-565f-4352-92f7-eca864cff059,4828,4506,106,132,84,402,3,1,1,60
1e848e1e-102c-42d3-9cc5-6e1e21e657a5,1274,1231,20,14,9,84,2,1,0,60
1f0d4545-9398-471d-82dc-bbeca095dddb,2725,2528,66,81,50,154,8,3,2,60
1f93f3ff-d149-4b56-8f86-85acbae1c43c,1345,1296,23,16,10,99,0,0,0,60
1f94f149-6e28-4972-8811-3307b3b3373a,994,887,48,28,31,32,0,1,1,60
2067ca3a-0632-45a0-865e-f5b203dd22aa,10581,9853,277,272,179,600,5,3,1,60
207887a6-722b-428c-a4b7-2cc43d2e4214,1291,1213,25,30,23,111,3,0,1,60
20e6727a-9537-4eb4-86c1-43d9256f8ac9,1868,1756,26,48,38,116,0,1,2,60
20e97644-cff5-40ce-a8ea-c82ea98d9d07,288,277,1,8,2,13,0,0,0,53
221a3d1a-9b12-4ae8-a59b-9dcf5c21075e,1985,1874,49,37,25,154,8,1,1,60
224062a0-9dd1-4724-a5c0-3c8b860573dc,2140,2036,66,19,19,78,0,0,0,60
22d97f83-06ee-44b0-bb47-bae6e39cc400,1874,1789,37,28,20,117,5,2,0,60
22f60087-6d09-49ba-9f58-3e672e30b1d8,1030,896,58,39,37,47,0,1,2,60
241a16d5-edaa-428e-8adf-4a36a04597cc,2494,2082,113,196,103,142,4,11,3,60
24667e85-6740-48ce-86c4-37c926ec0c74,32696,31572,364,464,296,2496,10,9,5,60
246dc240-e479-428b-8206-c142ba5c69d2,1678,1625,16,26,11,121,5,0,0,60
246eaf12-e141-4f51-91c6-03f13e85bf03,1093,1044,10,27,12,61,2,1,0,60
