read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
0c8563ca-edb4-4006-8e78-a04779bcc94f,1630,1523,39,39,29,106,5,1,0,60
0c960f37-0876-45ad-9f7a-d860bd3f7f9a,3306,3029,114,82,81,220,16,10,1,60
0cc08afa-13c5-48e1-a7af-ea3db8c5b85b,828,712,43,33,40,41,3,0,0,60
0cee4c2e-b82f-4572-9e16-a49bda040f21,0,0,0,0,0,0,0,0,0,0
0d154e0c-c695-48e4-bf1e-3bff7fc7a503,316,286,12,8,10,15,2,2,1,60
0d3c12ae-ef85-4780-8641-73f7efe894ca,1209,1143,20,21,25,59,1,0,0,60
0df7ab91-053c-41f9-aeff-03b1cffc5f07,3815,3470,133,109,103,194,30,6,3,60
0e7dc8cd-dd9a-4605-83c8-5d67695532ed,2185,2001,73,64,47,130,8,3,1,60
0e89bacd-fa3d-4fb2-a697-522c9333bd11,1516,1280,90,87,59,74,7,3,5,60
0ee0f52b-208a-4bd7-a3c3-66dcc6c40035,402,359,13,21,9,5,0,2,0,60
0ee4e420-d528-4433-bc72-afd046b3a939,4458,4177,103,116,62,313,11,5,0,60
0f02a30f-1821-49d9-8884-b0da743188b9,2334,2065,109,83,77,139,16,7,2,60
0f75d776-41b8-4959-b8d7-90622acfcf9a,5750,5283,159,191,117,357,26,9,2,60
1039410b-857e-4fa3-9245-96101e54a7ad,1915,1780,48,52,35,148,4,2,1,60
104186e1-2dc3-495d-8864-f58122c2886d,1355,1266,27,38,24,52,0,1,0,60
10a09fa8-6d64-4782-9c48-1af13553f39d,5279,4922,133,145,79,366,12,3,1,60
10d91eb9-b27c-4d2c-9954-87da48f01b22,5078,4517,211,164,186,242,19,13,3,60
10e0f5e2-7188-454d-91c5-74c7049bf833,203,186,10,4,3,10,1,1,0,60
114ce9c7-fa83-4063-850d-3492b14c0c5b,544,511,12,17,4,53,1,1,0,60
11785578-f833-477e-8861-52188e20616e,848,753,28,31,36,7,1,0,0,60
11f70b52-d421-44ff-9722-807f9858df8e,9837,9230,198,232,177,540,19,11,1,60
1200a3b2-a667-4a80-84a0-8d289f25f53d,1216,1114,34,32,36,22,3,1,0,60
1210b23d-9d8e-4231-9901-2b38a0d36ccc,1408,1250,64,57,37,27,7,1,0,60
1213424f-0b2a-4e06-b239-3c11f1f7d5c0,2380,2182,87,68,43,136,7,5,0,60
